symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2016-01-01 00:00:00+00:00,105.43,105.51,105.36,105.46,11646.0,65.0,105.430203
AAPL,2016-01-04 09:00:00+00:00,105.45,105.45,103.4,103.4,37541.0,156.0,103.87581
AAPL,2016-01-04 10:00:00+00:00,103.55,103.77,103.48,103.68,7675.0,45.0,103.581896
AAPL,2016-01-04 11:00:00+00:00,103.69,103.69,103.0,103.0,40620.0,217.0,103.371054
AAPL,2016-01-04 12:00:00+00:00,103.0,103.3,102.81,103.3,107579.0,518.0,103.05865
AAPL,2016-01-04 13:00:00+00:00,103.3,103.58,102.8,103.0,378885.0,1534.0,103.137009
AAPL,2016-01-04 14:00:00+00:00,103.0,103.69,102.0,102.6923,11073669.0,61032.0,102.758519
AAPL,2016-01-04 15:00:00+00:00,102.68,103.935,102.38,103.342,9425554.0,66426.0,103.155313
AAPL,2016-01-04 16:00:00+00:00,103.33,103.9,102.5,103.83,6264325.0,45783.0,103.357682
AAPL,2016-01-04 17:00:00+00:00,103.84,104.89,103.69,104.7825,7151656.0,38645.0,104.185387
AAPL,2016-01-04 18:00:00+00:00,104.78,104.99,104.31,104.6401,11772201.0,35430.0,104.686042
AAPL,2016-01-04 19:00:00+00:00,104.64,105.368,104.41,104.75,6203089.0,40207.0,104.93604
AAPL,2016-01-04 20:00:00+00:00,104.75,105.36,103.83,105.33,10205352.0,60187.0,104.649884
AAPL,2016-01-04 21:00:00+00:00,105.35,105.7,104.7455,105.55,9154677.0,564.0,105.353039
AAPL,2016-01-04 22:00:00+00:00,105.53,105.75,105.49,105.63,32582.0,424.0,105.588952
AAPL,2016-01-04 23:00:00+00:00,105.67,105.74,105.61,105.74,20440.0,61.0,105.68411
AAPL,2016-01-05 00:00:00+00:00,105.74,105.8,105.66,105.74,23905.0,88.0,105.744723
AAPL,2016-01-05 09:00:00+00:00,105.48,105.48,105.24,105.28,1400.0,13.0,105.287394
AAPL,2016-01-05 10:00:00+00:00,105.23,105.28,104.9,104.9,3564.0,34.0,105.108955
AAPL,2016-01-05 11:00:00+00:00,105.14,105.14,104.95,105.05,600.0,6.0,105.086667
AAPL,2016-01-05 12:00:00+00:00,105.05,105.28,104.7,105.02,35438.0,205.0,104.864121
AAPL,2016-01-05 13:00:00+00:00,104.99,105.48,104.75,105.35,149390.0,764.0,105.266352
AAPL,2016-01-05 14:00:00+00:00,105.4,105.85,104.1,104.138,6317896.0,33229.0,104.861754
AAPL,2016-01-05 15:00:00+00:00,104.12,104.95,103.83,104.495,5954578.0,39398.0,104.282739
AAPL,2016-01-05 16:00:00+00:00,104.495,104.55,103.87,104.09,3976762.0,27727.0,104.103759
AAPL,2016-01-05 17:00:00+00:00,104.095,104.1,102.41,103.025,13753711.0,83464.0,103.016723
AAPL,2016-01-05 18:00:00+00:00,103.04,103.75,102.75,103.48,5887859.0,36875.0,103.196146
AAPL,2016-01-05 19:00:00+00:00,103.485,103.74,102.9089,103.0,6401142.0,35544.0,103.341168
AAPL,2016-01-05 20:00:00+00:00,103.0,103.09,102.6,102.71,9867175.0,62266.0,102.778139
AAPL,2016-01-05 21:00:00+00:00,102.71,102.82,102.51,102.51,5960805.0,656.0,102.709495
AAPL,2016-01-05 22:00:00+00:00,102.51,102.51,102.11,102.41,87712.0,682.0,102.324095
AAPL,2016-01-05 23:00:00+00:00,102.37,102.54,102.33,102.38,135879.0,163.0,102.415544
AAPL,2016-01-06 00:00:00+00:00,102.38,102.38,102.23,102.25,41053.0,229.0,102.276431
AAPL,2016-01-06 09:00:00+00:00,102.24,102.24,100.49,100.64,20768.0,157.0,101.06297
AAPL,2016-01-06 10:00:00+00:00,100.75,100.75,99.66,99.99,48231.0,266.0,100.062218
AAPL,2016-01-06 11:00:00+00:00,99.99,100.43,99.82,100.24,79523.0,431.0,100.18126
AAPL,2016-01-06 12:00:00+00:00,100.25,100.75,100.1,100.21,187869.0,1068.0,100.355345
AAPL,2016-01-06 13:00:00+00:00,100.2,100.68,100.03,100.68,531190.0,2810.0,100.29439
AAPL,2016-01-06 14:00:00+00:00,100.67,101.87,100.22,101.4098,11829908.0,63367.0,100.987775
